Name,Members FTE,Lobbying cost,Interest represented,EP passes on 2026-05-25,all EP passes,Meetings,country,gdp_usd,population,inflation_rate,gdp_per_capita,lobbying_gdp_ratio
Flint Europe,35.5,4190000,Advances interests of their clients,27.0,132.0,36.0,United Kingdom,3181244350465.41,67604000.0,7.92204883147902,47057.0432291789,1317.094676926345
APCO Worldwide,62.0,4090000,Advances interests of their clients,26.0,473.0,31.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,159.7353694512235
ExxonMobil Petroleum & Chemical,5.4,4000000,Promotes their own interests or the collective interests of their members,7.0,85.0,93.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,6767.207252880389
Eurocities,20.0,4000000,Promotes their own interests or the collective interests of their members,14.0,228.0,106.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,6767.207252880389
Deutsche Industrie- und Handelskammer,25.1,4000000,Promotes their own interests or the collective interests of their members,13.0,268.0,124.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,952.149329252783
Plastics Europe,15.0,4000000,Promotes their own interests or the collective interests of their members,6.0,99.0,58.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,6767.207252880389
European Banking Federation,12.85,4000000,Promotes their own interests or the collective interests of their members,11.0,260.0,112.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,6767.207252880389
Fédération bancaire française,15.2,3500000,Promotes their own interests or the collective interests of their members,4.0,62.0,135.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,1252.33106351781
Bundesverband der Deutschen Industrie e.V.,12.35,3500000,Promotes their own interests or the collective interests of their members,14.0,147.0,264.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,833.1306630961851
BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.,13.75,3500000,Promotes their own interests or the collective interests of their members,5.0,107.0,54.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,833.1306630961851
British American Tobacco,4.75,3500000,Promotes their own interests or the collective interests of their members,11.0,106.0,4.0,United Kingdom,3181244350465.41,67604000.0,7.92204883147902,47057.0432291789,1100.1984174802406
Samsung Electronics Europe,12.75,3500000,Promotes their own interests or the collective interests of their members,9.0,84.0,50.0,United Kingdom,3181244350465.41,67604000.0,7.92204883147902,47057.0432291789,1100.1984174802406
Siemens AG,8.65,3500000,Promotes their own interests or the collective interests of their members,10.0,146.0,146.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,833.1306630961851
DIGITALEUROPE,26.7,3500000,Promotes their own interests or the collective interests of their members,32.0,243.0,261.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,5921.30634627034
Penta,27.75,3480000,Advances interests of their clients,11.0,294.0,47.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,135.9117568924836
EPPA SA,32.5,3460000,Advances interests of their clients,17.0,198.0,34.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,5853.634273741537
Teneo Brussels,13.5,3425000,Advances interests of their clients,14.0,280.0,48.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,133.76372625194145
NOVE,20.1,3165000,Advances interests of their clients,28.0,259.0,39.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,5354.552738841608
FGS Global (Belgium) BV,40.0,3160000,Advances interests of their clients,19.0,56.0,15.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,5346.093729775508
Bundesverband Öffentlicher Banken Deutschlands eV,19.25,3000000,Promotes their own interests or the collective interests of their members,5.0,63.0,36.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,714.1119969395872
TotalEnergies SE,4.25,3000000,Promotes their own interests or the collective interests of their members,8.0,107.0,112.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,1073.4266258724087
WindEurope,14.75,3000000,Promotes their own interests or the collective interests of their members,15.0,108.0,152.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,5075.405439660291
