"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
05032108616-26,"Shell Companies",13,4500000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,7,93,170,https://www.lobbyfacts.eu/datacard/shell-companies?rid=05032108616-26
15423437054-40,"Verband der Chemischen Industrie e.V.",20.25,4500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,7,118,39,https://www.lobbyfacts.eu/datacard/verband-der-chemischen-industrie-ev?rid=15423437054-40
26207914726-42,FuelsEurope,14,4500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,16,141,91,https://www.lobbyfacts.eu/datacard/fuelseurope?rid=26207914726-42
7410939793-88,"BASF SE",22.95,4500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,14,194,95,https://www.lobbyfacts.eu/datacard/basf-se?rid=7410939793-88
77659588648-75,"Hydrogen Europe",25.2,4500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,16,69,105,https://www.lobbyfacts.eu/datacard/hydrogen-europe?rid=77659588648-75
718251720163-42,"Flint Europe",35.5,4190000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,27,132,36,https://www.lobbyfacts.eu/datacard/flint-europe?rid=718251720163-42
81995781088-41,"APCO Worldwide",62,4090000,"Advances interests of their clients","UNITED STATES",BELGIUM,26,473,31,https://www.lobbyfacts.eu/datacard/apco-worldwide?rid=81995781088-41
0745650927-75,"ExxonMobil Petroleum & Chemical",5.4,4000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,85,93,https://www.lobbyfacts.eu/datacard/exxonmobil-petroleum--chemical?rid=0745650927-75
12493392840-79,Eurocities,20,4000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,14,228,106,https://www.lobbyfacts.eu/datacard/eurocities?rid=12493392840-79
22400601191-42,"Deutsche Industrie- und Handelskammer",25.1,4000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,13,268,124,https://www.lobbyfacts.eu/datacard/deutsche-industrie--und-handelskammer?rid=22400601191-42
454264611835-56,"Plastics Europe",15,4000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,6,99,58,https://www.lobbyfacts.eu/datacard/plastics-europe?rid=454264611835-56
4722660838-23,"European Banking Federation",12.85,4000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,11,260,112,https://www.lobbyfacts.eu/datacard/european-banking-federation?rid=4722660838-23
09245221105-30,"Fédération bancaire française",15.2,3500000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,62,135,https://www.lobbyfacts.eu/datacard/fédération-bancaire-française?rid=09245221105-30
1771817758-48,"Bundesverband der Deutschen Industrie e.V.",12.35,3500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,14,147,264,https://www.lobbyfacts.eu/datacard/bundesverband-der-deutschen-industrie-ev?rid=1771817758-48
20457441380-38,"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",13.75,3500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,107,54,https://www.lobbyfacts.eu/datacard/bdew-bundesverband-der-energie--und-wasserwirtschaft-e-v?rid=20457441380-38
2427500988-58,"British American Tobacco",4.75,3500000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,11,106,4,https://www.lobbyfacts.eu/datacard/british-american-tobacco?rid=2427500988-58
