Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
DEMINETEC,0.5,600000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Environment']
European Container Glass Federation,1.5,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,2.0,19.0,16.0,Belgium,"['Artificial Intelligence', 'Agriculture', 'Health', 'Energy', 'Trade', 'Environment']"
Architects' Council of Europe,3.75,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,33.0,12.0,Belgium,"['Artificial Intelligence', 'Energy']"
Associazione Nazionale Produttori Armi e Munizioni Sportive e Civili,5.0,600000,Promotes their own interests or the collective interests of their members,Italy,Italy,3.0,23.0,1.0,Italy,['Other']
FERROVIE DELLO STATO ITALIANE S.p.A.,9.25,600000,Promotes their own interests or the collective interests of their members,Italy,Belgium,4.0,40.0,49.0,Italy,['Artificial Intelligence']
Bloomberg L.P.,3.7,600000,Promotes their own interests or the collective interests of their members,United States,Belgium,2.0,11.0,69.0,United States,"['Artificial Intelligence', 'Finance & Banking']"
Panodyssey Holding Group,1.75,600000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,2.0,France,"['Artificial Intelligence', 'Digital Markets']"
European Partnership for Energy and the Environment,7.5,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,4.0,25.0,9.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
Consiglio Nazionale degli Spedizionieri Doganali,0.1,600000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,"['Artificial Intelligence', 'Trade']"
ADENE - Agência para a Energia,0.5,600000,Promotes their own interests or the collective interests of their members,Portugal,Portugal,0.0,0.0,1.0,Portugal,['Other']
Vanguard Asset Management Limited,1.25,600000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,1.0,29.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking']"
ASOCIACIÓN MEDCITIES Y/O MEDCITES,8.75,600000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,0.0,Spain,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
Borealis GmbH,3.5,600000,Promotes their own interests or the collective interests of their members,Austria,Austria,2.0,12.0,6.0,Austria,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Energy', 'Environment']"
Teva Pharmaceuticals Europe BV,2.0,600000,Promotes their own interests or the collective interests of their members,Netherlands,Belgium,3.0,35.0,8.0,Netherlands,"['Artificial Intelligence', 'Health', 'Trade', 'Environment']"
Alibaba Group,1.5,600000,Promotes their own interests or the collective interests of their members,Singapore,Belgium,2.0,11.0,17.0,Singapore,"['Artificial Intelligence', 'Digital Markets', 'Energy', 'Trade', 'Environment']"
Haleon,1.05,600000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,4.0,14.0,5.0,United Kingdom,"['Artificial Intelligence', 'Health', 'Environment']"
Fair Trials Europe,3.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,7.0,4.0,Belgium,"['Artificial Intelligence', 'Justice & Rights']"
European Brain Council,11.75,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,6.0,68.0,13.0,Belgium,"['Artificial Intelligence', 'Health']"
Handelsverband Deutschland,3.75,600000,Promotes their own interests or the collective interests of their members,Germany,Belgium,4.0,42.0,33.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Health', 'Energy', 'Environment']"
eFuel Alliance,3.05,600000,Promotes their own interests or the collective interests of their members,Germany,Belgium,0.0,0.0,10.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
PANASONIC EUROPE BV,4.0,600000,Promotes their own interests or the collective interests of their members,Netherlands,Belgium,4.0,34.0,11.0,Netherlands,"['Artificial Intelligence', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
International Society for Pharmaceutical Engineering,3.55,600000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,0.0,0.0,United States,"['Artificial Intelligence', 'Health', 'Environment']"
Scania AB (publ),3.5,600000,Promotes their own interests or the collective interests of their members,Sweden,Belgium,0.0,2.0,70.0,Sweden,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy']"
Asociația Obștească Asociatia Businesului European,6.5,600000,Promotes their own interests or the collective interests of their members,"Moldova, Republic Of","Moldova, Republic Of",0.0,0.0,1.0,"Moldova, Republic Of","['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Energy', 'Trade', 'Environment', 'Justice & Rights']"
WeMove Europe gGmbH,1.25,600000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Other']
Orano,5.25,600000,Promotes their own interests or the collective interests of their members,France,Belgium,4.0,29.0,34.0,France,"['Artificial Intelligence', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
"Association des Banques et Banquiers, Luxembourg",2.8,600000,Promotes their own interests or the collective interests of their members,Luxembourg,Belgium,4.0,48.0,24.0,Luxembourg,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
Conféderation Européenne des Propriétaires Forestiers,5.25,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,5.0,55.0,52.0,Belgium,"['Artificial Intelligence', 'Health', 'Energy', 'Environment']"
Groupement Européen des Sociétés d'Auteurs et Compositeurs,2.75,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,4.0,74.0,57.0,Belgium,"['Artificial Intelligence', 'Trade']"
European Association of Central Counterparty Clearing Houses,4.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,17.0,11.0,Belgium,['Finance & Banking']
McDonald’s Global Franchising Limited,1.7,600000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,4.0,19.0,13.0,United Kingdom,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Transport', 'Environment']"
"IPC International, Inc.(operating as Global Electronics Association)",1.6,600000,Promotes their own interests or the collective interests of their members,United States,Belgium,0.0,0.0,6.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Trade', 'Environment']"
Belgian Fisheries Producers Organisation CV,5.75,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,1.0,Belgium,['Other']
Technology Industries of Finland (Teknologiateollisuus ry),15.0,600000,Promotes their own interests or the collective interests of their members,Finland,Finland,5.0,35.0,62.0,Finland,"['Artificial Intelligence', 'Energy', 'Environment']"
ETICAS RESEARCH AND CONSULTING SL,1.0,600000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,0.0,Spain,"['Artificial Intelligence', 'Digital Markets', 'Environment', 'Justice & Rights']"
Zentropa Folket ApS,1.05,600000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,0.0,0.0,1.0,Denmark,['Digital Markets']
European Festivals Association,6.5,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,2.0,2.0,11.0,Belgium,"['Artificial Intelligence', 'Trade']"
ASSOBIBE,1.55,600000,Promotes their own interests or the collective interests of their members,Italy,Italy,1.0,1.0,0.0,Italy,['Other']
European Publishers Council,3.85,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,2.0,8.0,61.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Transport', 'Health', 'Trade', 'Justice & Rights']"
Insta Advance Oy,1.0,600000,Promotes their own interests or the collective interests of their members,Finland,Finland,0.0,0.0,0.0,Finland,['Artificial Intelligence']
Prospero & Partners,3.8,600000,Advances interests of their clients,Belgium,Belgium,4.0,25.0,2.0,Belgium,"['Agriculture', 'Environment']"
Accountancy Europe,5.5,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,4.0,55.0,22.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
METRO AG,2.75,600000,Promotes their own interests or the collective interests of their members,Germany,Belgium,2.0,35.0,11.0,Germany,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
Findynet Cooperative,0.25,600000,Promotes their own interests or the collective interests of their members,Finland,Finland,0.0,0.0,0.0,Finland,['Other']
Dropbox,0.75,600000,Promotes their own interests or the collective interests of their members,United States,Ireland,1.0,4.0,8.0,United States,"['Artificial Intelligence', 'Digital Markets']"
Zurich Insurance Company Ltd,3.0,600000,Promotes their own interests or the collective interests of their members,Switzerland,Belgium,2.0,13.0,39.0,Switzerland,"['Artificial Intelligence', 'Finance & Banking', 'Energy']"
Verbond van Verzekeraars,2.0,600000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,2.0,4.0,1.0,Netherlands,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Energy']"
Volvo AB,7.0,600000,Promotes their own interests or the collective interests of their members,Sweden,Belgium,3.0,31.0,74.0,Sweden,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade', 'Environment']"
Chambre de Commerce du G-D de Luxembourg,6.3,600000,Promotes their own interests or the collective interests of their members,Luxembourg,Luxembourg,0.0,0.0,2.0,Luxembourg,"['Artificial Intelligence', 'Finance & Banking', 'Trade']"
Industrieverband Körperpflege- und Waschmittel e.V.,0.7,600000,Promotes their own interests or the collective interests of their members,Germany,Germany,2.0,6.0,0.0,Germany,"['Artificial Intelligence', 'Environment']"
Moody's Shared Services UK Ltd.,2.6,600000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,1.0,3.0,31.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking']"
smartEn Smart Energy Europe,9.25,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,5.0,31.0,36.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade']"
Handelsverband,7.0,600000,Promotes their own interests or the collective interests of their members,Austria,Austria,0.0,0.0,0.0,Austria,"['Artificial Intelligence', 'Agriculture', 'Environment']"
Confederația Națională Sindicală Cartel ALFA,2.0,600000,Promotes their own interests or the collective interests of their members,Romania,Romania,0.0,0.0,0.0,Romania,['Other']
International Securities Lending Association,3.6,600000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,4.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Trade']"
CyberWhiz Siber Güvenlik Anonim Şİrketi,0.35,600000,Promotes their own interests or the collective interests of their members,Turkey,Turkey,0.0,0.0,0.0,Turkey,['Artificial Intelligence']
Association Française de la Gestion financière,6.0,600000,Promotes their own interests or the collective interests of their members,France,Belgium,4.0,39.0,32.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Trade']"
"Raide-, energia-, liikenne- ja kiinteistöalojen ammattilaiset JHL ry - Rail, Energy, Transport and Facilities Professionals JHL",1.0,600000,Promotes their own interests or the collective interests of their members,Finland,Finland,0.0,1.0,0.0,Finland,"['Artificial Intelligence', 'Transport', 'Energy', 'Trade', 'Environment']"
GRACE - Empresas Responsáveis,0.5,600000,Promotes their own interests or the collective interests of their members,Portugal,Portugal,0.0,0.0,0.0,Portugal,['Other']
Krajowa Izba Gospodarcza Elektroniki i Telekomunikacji,2.5,600000,Promotes their own interests or the collective interests of their members,Poland,Poland,0.0,0.0,0.0,Poland,['Other']
SINTEF Ocean AS,0.75,600000,Promotes their own interests or the collective interests of their members,Norway,Norway,0.0,0.0,0.0,Norway,"['Artificial Intelligence', 'Transport', 'Energy', 'Environment']"
HYDROGEN EUROPE RESEARCH,2.1,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,1.0,5.0,Belgium,"['Artificial Intelligence', 'Energy']"
CEDEC,3.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,2.0,Belgium,"['Artificial Intelligence', 'Transport', 'Energy']"
AZ Rendering,1.0,600000,Promotes their own interests or the collective interests of their members,Albania,Albania,0.0,0.0,0.0,Albania,['Other']
Small Business Standards,6.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,4.0,9.0,5.0,Belgium,"['Artificial Intelligence', 'Environment']"
TUI AG,6.85,600000,Promotes their own interests or the collective interests of their members,Germany,Belgium,4.0,24.0,28.0,Germany,"['Artificial Intelligence', 'Transport', 'Trade', 'Environment']"
Cabot Corporation,2.0,600000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,3.0,14.0,United States,"['Artificial Intelligence', 'Transport', 'Energy', 'Trade', 'Environment']"
Union des Chambres et des Bourses de Turquie,6.0,600000,Promotes their own interests or the collective interests of their members,Turkey,Turkey,2.0,16.0,4.0,Turkey,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade', 'Environment']"
European Advanced Carbon and Graphite Materials Association,3.75,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,4.0,6.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Energy', 'Trade', 'Environment']"
Hyundai Motor Company Brussels Office,2.35,600000,Promotes their own interests or the collective interests of their members,"Korea, Republic Of",Belgium,3.0,62.0,24.0,"Korea, Republic Of","['Artificial Intelligence', 'Transport', 'Energy', 'Trade', 'Environment']"
Association of European Performers’ Organisations,3.5,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,26.0,19.0,Belgium,"['Artificial Intelligence', 'Digital Markets']"
Carbon Capture & Storage Association,7.75,600000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,5.0,21.0,13.0,United Kingdom,"['Artificial Intelligence', 'Energy', 'Environment']"
Transenergy Global,0.5,600000,Promotes their own interests or the collective interests of their members,Singapore,Singapore,0.0,0.0,0.0,Singapore,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Environment']"
ALL DIGITAL AISBL,14.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,5.0,23.0,1.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Environment']"
Finanssiala ry - Finance Finland,8.25,600000,Promotes their own interests or the collective interests of their members,Finland,Finland,1.0,18.0,28.0,Finland,['Finance & Banking']
Telenor,1.0,600000,Promotes their own interests or the collective interests of their members,Norway,Belgium,1.0,14.0,23.0,Norway,"['Artificial Intelligence', 'Digital Markets', 'Transport']"
Volvo Car Corporation AB,1.25,600000,Promotes their own interests or the collective interests of their members,Sweden,Belgium,2.0,16.0,42.0,Sweden,"['Artificial Intelligence', 'Trade']"
Business Software Alliance,3.25,600000,Promotes their own interests or the collective interests of their members,United States,Belgium,4.0,50.0,47.0,United States,"['Artificial Intelligence', 'Trade']"
International Flavors & Fragrances,0.75,600000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,1.0,3.0,8.0,Netherlands,"['Artificial Intelligence', 'Agriculture', 'Health', 'Energy', 'Trade', 'Environment']"
Wirtschaftsvereinigung Stahl,3.5,600000,Promotes their own interests or the collective interests of their members,Germany,Belgium,2.0,20.0,31.0,Germany,"['Energy', 'Environment']"
Confederazione Italiana Sindacati Lavoratori,8.25,600000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,7.0,Italy,['Artificial Intelligence']
National Youth Forum-Bulgaria,2.0,600000,Promotes their own interests or the collective interests of their members,Bulgaria,Bulgaria,0.0,0.0,0.0,Bulgaria,"['Digital Markets', 'Trade']"
"Sveriges Konsumenter, The Swedish Consumers' Association",10.75,600000,Promotes their own interests or the collective interests of their members,Sweden,Sweden,0.0,0.0,0.0,Sweden,['Artificial Intelligence']
Pelagic Freezer-trawler Association,3.0,600000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,7.0,9.0,Netherlands,"['Artificial Intelligence', 'Agriculture', 'Environment']"
Fagligt Fælles Forbund,4.25,600000,Promotes their own interests or the collective interests of their members,Denmark,Belgium,4.0,37.0,14.0,Denmark,"['Finance & Banking', 'Digital Markets', 'Transport']"
Lantbrukarnas Riksförbund,2.5,600000,Promotes their own interests or the collective interests of their members,Sweden,Belgium,5.0,69.0,47.0,Sweden,['Environment']
TOPSOE A/S,2.8,600000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,2.0,6.0,29.0,Denmark,"['Artificial Intelligence', 'Transport', 'Energy', 'Environment']"
DZ BANK AG Deutsche Zentral-Genossenschaftsbank,1.0,600000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,4.0,Germany,"['Artificial Intelligence', 'Finance & Banking']"
Ludwig Srls,1.5,600000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,['Artificial Intelligence']
APERAM SA,2.0,600000,Promotes their own interests or the collective interests of their members,Luxembourg,Luxembourg,0.0,0.0,14.0,Luxembourg,"['Artificial Intelligence', 'Health', 'Trade', 'Environment']"
UNIÓN ESPAÑOLA DE ENTIDADES ASEGURADORAS Y REASEGURADORAS,8.0,600000,Promotes their own interests or the collective interests of their members,Spain,Spain,4.0,11.0,8.0,Spain,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
The Brewers of Europe,2.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,4.0,56.0,20.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Trade', 'Environment']"
European Federation of Engineering Consultancy Associations,2.1,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,9.0,15.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Energy', 'Environment']"
Fundación Centro Tecnológico Soermar,6.5,600000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,0.0,Spain,"['Transport', 'Energy', 'Trade', 'Environment']"
Liberty Global Corporate B.V.,3.6,600000,Promotes their own interests or the collective interests of their members,Netherlands,Belgium,2.0,63.0,48.0,Netherlands,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport']"
HENSOLDT AG,2.25,600000,Promotes their own interests or the collective interests of their members,Germany,Belgium,2.0,18.0,7.0,Germany,['Artificial Intelligence']
UK Major Ports Group,3.0,600000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,['Trade']
Mitsubishi Electric Europe,6.5,600000,Promotes their own interests or the collective interests of their members,Germany,Belgium,3.0,5.0,1.0,Germany,"['Artificial Intelligence', 'Transport', 'Energy', 'Environment']"
COMITE DE LIAISON ENTREPRENEURIAT-AGRICULTURE-DEVELOPPEMENT,6.0,600000,Promotes their own interests or the collective interests of their members,France,Belgium,0.0,0.0,0.0,France,"['Artificial Intelligence', 'Agriculture', 'Health', 'Trade', 'Environment']"
The European Society of Intensive Care Medicine,0.25,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,11.0,Belgium,"['Artificial Intelligence', 'Health']"
Zalando SE,4.3,600000,Promotes their own interests or the collective interests of their members,Germany,Germany,3.0,9.0,38.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Trade', 'Environment']"
European Federation of Nurses Associations,3.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,53.0,10.0,Belgium,"['Artificial Intelligence', 'Health', 'Energy', 'Environment']"
42,0.1,600000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,2.0,France,['Artificial Intelligence']
European Liver Patients' Association,7.5,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,4.0,28.0,8.0,Belgium,"['Artificial Intelligence', 'Health']"
ViNordic - Veterinary Industry Nordic,0.1,600000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,0.0,1.0,0.0,Denmark,['Health']
European Hematology Association,4.75,600000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,8.0,0.0,Netherlands,['Health']
Anglo American,1.15,600000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,1.0,1.0,22.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Transport', 'Energy', 'Trade', 'Environment']"
Amcor,1.35,600000,Promotes their own interests or the collective interests of their members,Switzerland,Switzerland,2.0,9.0,3.0,Switzerland,"['Artificial Intelligence', 'Agriculture', 'Health']"
AMUNDI AM,1.45,600000,Promotes their own interests or the collective interests of their members,France,Belgium,0.0,3.0,33.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
European Federation of Geologists,5.25,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,2.0,13.0,0.0,Belgium,"['Artificial Intelligence', 'Energy', 'Trade', 'Environment']"
Norwegian Confederation of Trade Unions,2.0,600000,Promotes their own interests or the collective interests of their members,Norway,Belgium,1.0,9.0,2.0,Norway,"['Energy', 'Trade', 'Environment']"
Industriens Pensionsforsikring A/S,11.25,600000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,0.0,0.0,0.0,Denmark,['Transport']
Conseil des Notariats de l'Union Européenne,8.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,8.0,65.0,11.0,Belgium,"['Artificial Intelligence', 'Justice & Rights']"
Salesforce Inc.,0.2,600000,Promotes their own interests or the collective interests of their members,United States,Belgium,1.0,11.0,39.0,United States,"['Artificial Intelligence', 'Digital Markets', 'Trade']"
Bolt,2.05,600000,Promotes their own interests or the collective interests of their members,Estonia,Estonia,2.0,9.0,70.0,Estonia,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Transport', 'Trade', 'Environment']"
European State Forest Association,5.0,600000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,33.0,20.0,Belgium,"['Artificial Intelligence', 'Energy', 'Environment']"
Milltown Partners Group Limited,6.5,575000,Advances interests of their clients,United Kingdom,Belgium,6.0,15.0,5.0,United Kingdom,"['Artificial Intelligence', 'Digital Markets']"
Trilligent,5.25,520000,Advances interests of their clients,United States,Belgium,2.0,19.0,0.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
EUROTRAN Conseil,3.0,515000,Advances interests of their clients,France,France,2.0,34.0,3.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Environment']"
Vimetco Management Romania SRL,1.0,510000,Advances interests of their clients,Romania,Romania,0.0,0.0,0.0,Romania,"['Artificial Intelligence', 'Transport', 'Energy', 'Environment']"
The European Organisation for Packaging and the Environment,1.85,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,39.0,37.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Environment']"
Parulski&Wspólnicy Szymon Parulski Wojciech Krok Doradcy Podatkowi s.c.,0.25,500000,Promotes their own interests or the collective interests of their members,Poland,Poland,0.0,0.0,0.0,Poland,"['Digital Markets', 'Trade']"
The Coca-Cola Company,3.25,500000,Promotes their own interests or the collective interests of their members,United States,Belgium,1.0,23.0,28.0,United States,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Health', 'Energy', 'Environment']"
European Association of Distance Teaching universities,4.5,500000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,2.0,Netherlands,"['Artificial Intelligence', 'Digital Markets']"
Toy Industries of Europe,3.8,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,5.0,18.0,19.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Trade', 'Environment']"
Cullen International SA,4.0,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,2.0,12.0,0.0,Belgium,"['Artificial Intelligence', 'Digital Markets']"
Workday,3.5,500000,Promotes their own interests or the collective interests of their members,United States,Belgium,3.0,16.0,35.0,United States,"['Artificial Intelligence', 'Digital Markets', 'Trade', 'Environment']"
Danfoss A/S,6.5,500000,Promotes their own interests or the collective interests of their members,Denmark,Belgium,4.0,13.0,21.0,Denmark,"['Artificial Intelligence', 'Agriculture', 'Energy', 'Trade', 'Environment']"
"Západoslovenská distribučná, a.s.",3.5,500000,Promotes their own interests or the collective interests of their members,Slovakia,Slovakia,0.0,0.0,6.0,Slovakia,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade', 'Environment']"
The Danish Chamber of Commerce,7.5,500000,Promotes their own interests or the collective interests of their members,Denmark,Belgium,11.0,124.0,69.0,Denmark,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
European Biostimulants Industry Council,1.75,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,5.0,Belgium,"['Artificial Intelligence', 'Agriculture', 'Health', 'Energy', 'Environment']"
CLOUD INFRASTRUCTURE SERVICES PROVIDERS IN EUROPE,2.75,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,7.0,13.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Health', 'Environment']"
FERRERO International,2.2,500000,Promotes their own interests or the collective interests of their members,Luxembourg,Belgium,5.0,49.0,11.0,Luxembourg,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Trade', 'Environment']"
ETSA (EUROPEAN TEXTILE SERVICES ASSOCIATION),3.0,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,1.0,19.0,1.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Health', 'Energy', 'Environment']"
R+V Versicherung AG,1.0,500000,Promotes their own interests or the collective interests of their members,Germany,Germany,1.0,3.0,0.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Environment']"
Cummins Ltd.,3.3,500000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,2.0,9.0,21.0,United Kingdom,"['Artificial Intelligence', 'Agriculture', 'Transport', 'Energy', 'Environment']"
IVR,3.25,500000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,0.0,Netherlands,['Transport']
Alliance for Rural Electrification,9.75,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,"['Artificial Intelligence', 'Agriculture', 'Energy', 'Environment']"
Confederation of Norwegian Enterprise,4.0,500000,Promotes their own interests or the collective interests of their members,Norway,Belgium,3.0,34.0,21.0,Norway,"['Artificial Intelligence', 'Transport', 'Energy', 'Trade']"
PrJSC MHP,0.2,500000,Promotes their own interests or the collective interests of their members,Ukraine,Ukraine,0.0,0.0,0.0,Ukraine,"['Artificial Intelligence', 'Agriculture', 'Trade']"
European Builders Confederation,6.0,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,5.0,50.0,25.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Trade']"
Association of European Public Postal Operators,5.6,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,26.0,19.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
International Trademark Association,4.25,500000,Promotes their own interests or the collective interests of their members,United States,Belgium,2.0,36.0,14.0,United States,"['Artificial Intelligence', 'Trade']"
CRITEO Technology SAS,0.25,500000,Promotes their own interests or the collective interests of their members,France,France,1.0,5.0,11.0,France,"['Artificial Intelligence', 'Digital Markets', 'Trade', 'Environment']"
AIM - European Brands Association,3.75,500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,6.0,65.0,47.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Health', 'Trade', 'Environment']"
emotion3D GmbH,1.0,500000,Promotes their own interests or the collective interests of their members,Austria,Austria,0.0,0.0,0.0,Austria,"['Artificial Intelligence', 'Transport', 'Environment']"
Cerovo d.o.o.,2.5,500000,Promotes their own interests or the collective interests of their members,Montenegro,Montenegro,0.0,0.0,0.0,Montenegro,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade', 'Environment']"
