Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
Shell Companies,13.0,4500000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,7.0,93.0,170.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade']"
Verband der Chemischen Industrie e.V.,20.25,4500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,7.0,118.0,39.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Energy']"
FuelsEurope,14.0,4500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,16.0,141.0,91.0,Belgium,"['Artificial Intelligence', 'Transport', 'Health', 'Energy', 'Environment']"
BASF SE,22.95,4500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,14.0,194.0,95.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Health', 'Energy', 'Trade', 'Environment']"
Hydrogen Europe,25.2,4500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,16.0,69.0,105.0,Belgium,"['Artificial Intelligence', 'Transport', 'Energy', 'Environment']"
Flint Europe,35.5,4190000,Advances interests of their clients,United Kingdom,Belgium,27.0,132.0,36.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade']"
APCO Worldwide,62.0,4090000,Advances interests of their clients,United States,Belgium,26.0,473.0,31.0,United States,"['Artificial Intelligence', 'Digital Markets', 'Health']"
ExxonMobil Petroleum & Chemical,5.4,4000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,7.0,85.0,93.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Transport', 'Energy', 'Trade', 'Environment']"
Eurocities,20.0,4000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,14.0,228.0,106.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Environment']"
Deutsche Industrie- und Handelskammer,25.1,4000000,Promotes their own interests or the collective interests of their members,Germany,Belgium,13.0,268.0,124.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade']"
