party_name_english,country_name,populist,populist_bl,farright,farright_bl,farleft,farleft_bl,eurosceptic,eurosceptic_bl,in_parliament,party_id,family_name,left_right,state_market,liberty_authority,eu_anti_pro
European Realistic Disobedience Front,Greece,1,0,0,0,1,0,1,0,1.0,2742.0,Communist/Socialist,1.3,1.4,3.0,3.3
Comnunist Party of Greece,Greece,0,0,0,0,1,0,1,0,1.0,614.0,Communist/Socialist,1.253,0.8404,5.1503,0.2722
Popular Orthodox Rally,Greece,1,0,1,0,0,0,1,0,0.0,1179.0,Right-wing,9.11,5.33,9.63,2.3
Golden Dawn,Greece,1,1,1,0,0,0,1,0,0.0,2092.0,Right-wing,8.7,5.9,8.5,2.3
Alternative Ecologists,Greece,0,0,0,0,1,1,0,0,0.0,2163.0,Green/Ecologist,2.5,2.5,1.8,3.3333
Political Spring,Greece,1,1,1,1,0,0,0,0,0.0,1412.0,Conservative,7.5714,6.7143,7.0,7.9488
The Coalition of the Radical Left,Greece,1,0,0,0,1,0,1,0,1.0,1592.0,Communist/Socialist,2.8947,2.9123,2.0066,7.1382
Popular Unity- Insubordinate Left,Greece,1,0,0,0,1,0,0,0,0.0,2596.0,Communist/Socialist,1.3,1.4,3.0,3.3
The Coalition of the Left,Greece,1,0,0,0,1,0,1,0,0.0,1441.0,Communist/Socialist,2.7683,2.6259,2.0238,6.8943
Fidesz,Hungary,1,0,1,0,0,0,1,0,1.0,921.0,Conservative,6.5432,3.9949,7.5275,6.6143
Movement for a Better Hungary,Hungary,1,0,1,0,0,0,1,0,1.0,600.0,Right-wing,8.7,5.9,8.5,2.3
Hungarian Justice and Life Party,Hungary,1,0,1,0,0,0,1,0,0.0,95.0,Right-wing,9.6065,3.807,9.5894,0.9358
Hungarian Workers' Party,Hungary,0,0,0,0,1,0,1,0,0.0,1202.0,Communist/Socialist,0.6316,2.6842,5.809,3.3388
Our Homeland Movement,Hungary,0,0,1,0,0,0,1,0,1.0,2745.0,Right-wing,8.7,5.9,8.5,2.3
Independent Smallholders’ Party,Hungary,1,0,1,0,0,0,0,0,0.0,870.0,Conservative,9.0186,4.7149,8.6235,3.7053
We Ourselves,Ireland,1,0,0,0,0,0,1,0,1.0,2217.0,Communist/Socialist,2.7935,2.0316,4.5005,3.3
Workers' Party,Ireland,0,0,0,0,1,0,1,0,0.0,433.0,Communist/Socialist,1.3,1.4,3.0,3.3
Socialist Party,Ireland,0,0,0,0,1,0,1,0,1.0,1014.0,Communist/Socialist,1.3,1.4,3.0,3.3
Social Movement Tricolour Flame,Italy,0,0,1,0,0,0,1,0,0.0,176.0,Right-wing,9.5762,4.0871,9.4093,1.8252
Let’s Go Italy (1994-2009),Italy,1,1,0,0,0,0,1,1,1.0,596.0,Conservative,7.1459,7.913,6.5983,5.0946
Brothers of Italy,Italy,1,0,1,0,0,0,1,0,1.0,2154.0,Right-wing,8.7,5.9,8.5,2.3
(Northern) League,Italy,1,0,1,0,0,0,1,0,1.0,1436.0,Right-wing,7.8007,7.9138,7.9003,3.2088
Southern Action League,Italy,0,0,1,0,0,0,1,0,0.0,436.0,Right-wing,8.7,5.9,8.5,2.3
Five Star Movement,Italy,1,0,0,0,0,0,1,0,1.0,2155.0,no family,0.0,0.0,0.0,0.0
Italian Social Movement- National Right,Italy,0,0,1,0,0,0,1,0,0.0,831.0,Right-wing,9.1778,5.9,8.5,2.3
Party of Italian Communists,Italy,0,0,0,0,1,0,1,0,0.0,1661.0,Communist/Socialist,1.0423,0.9046,1.2704,4.5086
Communist Refoundation Party,Italy,0,0,0,0,1,0,1,0,0.0,1321.0,Communist/Socialist,0.8849,0.6622,1.9878,3.5439
Left Ecology and Freedom,Italy,0,0,0,0,1,0,0,0,0.0,465.0,Communist/Socialist,1.3,1.4,3.0,3.3
The House of Freedom,Italy,1,1,0,0,0,0,1,1,0.0,67.0,Conservative,7.4,6.4,6.9,7.9
The Network,Italy,1,0,0,0,0,0,0,0,0.0,366.0,Christian democracy,6.2,5.7,7.1,6.6667
National Alliance,Italy,0,0,1,0,0,0,1,0,0.0,373.0,Conservative,8.0871,4.9559,8.8366,4.3389
Di Pietro’s list - Italy of Values,Italy,1,0,0,0,0,0,0,0,0.0,693.0,Liberal,4.8712,4.5664,5.5255,7.1295
New Era,Latvia,1,0,0,0,0,0,0,0,0.0,1518.0,Conservative,7.3026,7.0789,5.6407,8.7865
Who Owns the State? (now For a Humane Latvia),Latvia,1,0,0,0,0,0,1,0,0.0,2715.0,Right-wing,8.7,5.9,8.5,2.3
Communist Party of Latvia,Latvia,0,0,0,0,1,0,0,0,0.0,1260.0,Communist/Socialist,1.3,1.4,3.0,3.3
Socialist Party of Latvia,Latvia,0,0,0,0,1,0,1,0,0.0,309.0,Communist/Socialist,1.25,2.1093,5.5837,4.8684
Latvian Unity Party,Latvia,0,0,0,0,1,0,0,0,0.0,1042.0,Communist/Socialist,1.3,1.4,3.0,3.3
Reform Party,Latvia,1,0,0,0,0,0,0,0,0.0,1942.0,Conservative,7.4,6.4,6.9,7.9
For Fatherland and Freedom,Latvia,1,0,1,0,0,0,1,0,0.0,203.0,Right-wing,8.7,5.9,8.5,2.3
National Alliance,Latvia,0,0,1,0,0,0,1,0,1.0,521.0,Right-wing,8.2588,6.4433,7.4251,7.0102
People’s Movement for Latvia (Siegerist Party),Latvia,1,0,1,0,0,0,0,0,0.0,267.0,Right-wing,8.7,5.9,8.5,2.3
Labour Party,Lithuania,1,0,0,0,0,0,0,0,1.0,581.0,Liberal,3.86,4.29,5.8,8.5667
The Way of Courage,Lithuania,1,0,0,0,0,0,0,0,0.0,2121.0,Special issue,0.0,0.0,0.0,0.0
Young Lithuania,Lithuania,0,0,1,0,0,0,1,0,0.0,383.0,Right-wing,9.8,2.25,8.6,1.0
Lithuanian Nationalist and Republican Union,Lithuania,0,0,1,0,0,0,1,0,0.0,432.0,Right-wing,8.7,5.9,8.5,2.3
Lithuanian Centre Party,Lithuania,1,0,0,0,0,0,1,0,0.0,2635.0,Right-wing,8.7,5.9,8.5,2.3
National Resurrection Party,Lithuania,1,0,0,0,0,0,0,0,0.0,1502.0,Liberal,6.0,6.7,3.6,8.7
Order and Justice,Lithuania,1,0,0,0,0,0,1,0,0.0,1421.0,Conservative,5.2955,4.9093,7.2116,7.3184
Lithuanian Freedom Union,Lithuania,0,0,1,0,0,0,1,0,0.0,2634.0,Liberal,6.0,6.7,3.6,8.7
Alternative Democratic Reform Party,Luxembourg,1,0,1,1,0,0,1,0,1.0,1582.0,Conservative,8.8158,6.3158,7.5,0.0
The Left,Luxembourg,0,0,0,0,1,0,1,0,1.0,457.0,Communist/Socialist,0.5263,0.8772,1.0526,0.0
Communist Party of Luxembourg,Luxembourg,0,0,0,0,1,0,1,0,0.0,151.0,Communist/Socialist,1.3,1.4,3.0,0.0
National Movement,Luxembourg,0,0,1,0,0,0,1,0,0.0,374.0,Right-wing,8.7,5.9,8.5,0.0
Centre Democrats,Netherlands,1,0,1,0,0,0,1,0,0.0,209.0,Right-wing,9.4097,8.5714,9.25,1.312
Forum for Democracy,Netherlands,1,0,1,0,0,0,1,0,1.0,2642.0,Right-wing,8.7,5.9,8.5,2.3
Livable Netherlands,Netherlands,1,0,0,0,0,0,1,0,0.0,744.0,Right-wing,8.7,5.9,8.5,2.3
List Pim Fortuyn,Netherlands,1,0,0,0,0,0,1,0,0.0,456.0,Right-wing,8.5609,8.0776,4.7759,2.5798
Party for Freedom,Netherlands,1,0,1,0,0,0,1,0,1.0,1501.0,Right-wing,8.8,8.29,6.57,0.9167
Socialist Party (Netherlands),Netherlands,1,1,0,0,1,1,1,0,1.0,357.0,Communist/Socialist,1.3682,1.0421,4.2099,2.5049
Right Answer 21,Netherlands,1,0,1,0,0,0,1,0,1.0,2823.0,Right-wing,8.7,5.9,8.5,2.3
Farmer–Citizen Movement,Netherlands,1,0,1,1,0,0,1,0,1.0,2824.0,Agrarian,5.3,4.9,6.5,5.4
Coalition for the Renewal of the Republic – Freedom and Hope,Poland,0,0,1,0,0,0,1,0,1.0,2602.0,Conservative,7.4,6.4,6.9,7.9
Kukiz '15,Poland,1,0,0,0,0,0,1,0,1.0,2600.0,Right-wing,8.7,5.9,8.5,2.3
Left Together,Poland,0,0,0,0,1,0,0,0,1.0,2625.0,Social democracy,3.3,3.5,3.5,8.1
League of Polish Families,Poland,1,0,1,0,0,0,1,0,0.0,987.0,Conservative,8.8852,2.3257,9.7522,0.2933
Party X,Poland,1,0,1,0,0,0,1,0,0.0,181.0,Right-wing,8.7,5.9,8.5,2.3
Polish Western Union,Poland,0,0,1,0,0,0,0,0,0.0,1074.0,Communist/Socialist,1.3,1.4,3.0,3.3
Law and Justice,Poland,1,1,1,1,0,0,1,1,1.0,528.0,Conservative,7.6997,4.0466,8.2514,5.4813
National Movement,Poland,0,0,1,0,0,0,1,0,1.0,2398.0,Right-wing,8.7,5.9,8.5,2.3
Movement for the Reconstruction of Poland,Poland,1,1,1,1,0,0,1,0,0.0,148.0,Conservative,5.7895,5.2632,6.9,2.6316
Self-Defense of the Republic of Poland,Poland,1,0,0,0,0,0,1,0,0.0,207.0,Agrarian,3.997,2.008,7.3253,2.1473
Real Politics Union ,Poland,0,0,1,0,0,0,1,0,0.0,1549.0,Conservative,9.7368,9.4737,8.1579,2.3684
Christian National Union,Poland,1,0,1,0,0,0,0,0,0.0,1758.0,Conservative,7.4,6.4,6.9,7.9
United Poland,Poland,1,0,1,0,0,0,1,0,1.0,2372.0,Right-wing,8.7,5.9,8.5,2.3
Left Bloc,Portugal,0,0,0,0,1,1,1,0,1.0,557.0,Communist/Socialist,1.6425,1.9526,1.267,3.7018
Enough,Portugal,1,0,1,0,0,0,1,0,1.0,2789.0,Right-wing,8.7,5.9,8.5,2.3
Portuguese Communist Party,Portugal,0,0,0,0,1,0,1,0,1.0,514.0,Communist/Socialist,2.1754,1.6343,1.6291,2.0461
People’s Party – Dan Diaconescu,Romania,1,0,0,0,0,0,0,0,0.0,2130.0,Communist/Socialist,1.3,1.4,3.0,3.3
Greater Romania Party,Romania,1,0,1,0,0,0,1,0,0.0,713.0,Right-wing,6.6618,2.1497,9.5131,4.9488
United Romania Party,Romania,0,0,1,0,0,0,1,0,0.0,2648.0,Right-wing,8.7,5.9,8.5,2.3
Socialist Party of Labour,Romania,0,0,0,0,1,0,0,0,0.0,562.0,Communist/Socialist,5.5556,1.4,3.0,3.3
Social Democratic Party,Romania,1,1,0,0,0,0,0,0,1.0,307.0,Communist/Socialist,1.3,1.4,3.0,3.3
Romanian National Unity Party,Romania,1,0,1,0,0,0,0,0,0.0,648.0,Right-wing,5.5556,5.9,8.5,2.3
Alliance for the Union of Romanians,Romania,1,0,1,0,0,0,1,0,1.0,2807.0,Right-wing,8.7,5.9,8.5,2.3
People’s Movement Party,Romania,1,0,0,0,0,0,0,0,0.0,2395.0,Christian democracy,6.2,5.7,7.1,8.3
Romanian Socialist Democratic Party,Romania,0,0,0,0,1,0,0,0,0.0,307.0,Communist/Socialist,1.3,1.4,3.0,3.3
Alliance of the New Citizen,Slovakia,1,0,0,0,0,0,0,0,0.0,1200.0,Liberal,7.2404,7.945,1.9712,9.4714
Communist Party of Slovakia,Slovakia,0,0,0,0,1,0,1,0,0.0,44.0,Communist/Socialist,0.5275,0.937,4.5302,3.5075
Kotlebists – People’s Party Our Slovakia,Slovakia,0,0,1,0,0,0,1,0,1.0,586.0,Right-wing,8.7,5.9,8.5,2.3
Ordinary People and Independent Personalities,Slovakia,1,0,0,0,0,0,0,0,1.0,1759.0,Conservative,7.4,6.4,6.9,7.9
Real Slovak National Party,Slovakia,1,0,1,0,0,0,1,0,0.0,20.0,Right-wing,8.5,3.75,8.62,3.45
Slovak National Party,Slovakia,1,0,1,0,0,0,1,0,0.0,1072.0,Right-wing,7.0198,4.5191,8.46,3.838
We are family,Slovakia,1,0,1,0,0,0,1,0,1.0,2623.0,Right-wing,8.7,5.9,8.5,2.3
Direction – Slovak Social Democracy,Slovakia,1,0,0,0,0,0,0,0,1.0,220.0,Social democracy,3.3799,3.5124,3.6548,7.1697
Party of Civic Understanding,Slovakia,1,0,0,0,0,0,0,0,0.0,1016.0,Social democracy,3.3,3.5,3.5,8.1
Union of the Workers of Slovakia,Slovakia,1,0,0,0,1,0,1,0,0.0,1563.0,Communist/Socialist,1.3,1.4,3.0,3.3
Movement for a Democratic Slovakia,Slovakia,1,0,0,0,0,0,1,0,0.0,1142.0,Conservative,4.8914,4.8199,5.9161,7.2855
Homeland,Slovakia,1,0,1,0,0,0,1,0,0.0,2798.0,Right-wing,8.7,5.9,8.5,2.3
Left,Slovenia,1,0,0,0,1,0,1,0,1.0,2670.0,Communist/Socialist,1.3,1.4,3.0,3.3
List of Marjan Sarec,Slovenia,1,0,0,0,0,0,0,0,0.0,2668.0,Social democracy,3.3,3.5,3.5,8.1
Slovenian Democratic Party,Slovenia,1,0,1,0,0,0,0,0,1.0,179.0,Christian democracy,6.9996,5.6339,6.7947,8.804
Slovenian National Party,Slovenia,1,0,1,0,0,0,1,0,0.0,981.0,to be coded,4.7941,4.3938,6.0148,2.6754
Socialist Party of Slovenia,Slovenia,0,0,0,0,1,0,0,0,0.0,317.0,Communist/Socialist,1.3,1.4,3.0,3.3
United Left,Slovenia,1,0,0,0,1,0,1,0,0.0,706.0,Social democracy,3.0637,3.8001,2.9642,8.1513
New Slovenia – Christian Democrats,Slovenia,1,0,1,0,0,0,0,0,1.0,1047.0,Christian democracy,7.9345,5.9719,8.3998,8.4866
Slovenia Is Ours,Slovenia,1,0,0,0,0,0,0,0,0.0,2019.0,Special issue,0.0,0.0,0.0,0.0
Galician Nationalist Bloc,Spain,0,0,0,0,1,0,1,0,1.0,520.0,Special issue,2.9117,2.81,2.9378,6.6096
Basque Country Unite,Spain,0,0,0,0,1,0,1,0,1.0,2603.0,Special issue,0.0,0.0,0.0,0.0
United People,Spain,0,0,0,0,1,0,1,0,0.0,1317.0,Special issue,0.5909,1.8,4.3889,3.25
United Left,Spain,0,0,0,0,1,0,1,0,0.0,118.0,Communist/Socialist,2.0183,1.8937,1.7351,5.2186
We Can,Spain,1,0,0,0,1,0,1,0,1.0,2376.0,Communist/Socialist,1.3,1.4,3.0,3.3
United We Can,Spain,1,0,0,0,1,0,1,0,1.0,2724.0,Communist/Socialist,1.3,1.4,3.0,3.3
Voice,Spain,1,0,1,0,0,0,1,0,1.0,2380.0,Right-wing,8.7,5.9,8.5,2.3
Popular Unity Candidacy,Spain,0,0,0,0,1,0,1,0,1.0,2792.0,Communist/Socialist,1.3,1.4,3.0,3.3
New Democracy,Sweden,1,0,0,0,0,0,0,0,0.0,951.0,Right-wing,8.9944,8.0,6.0,7.5
Sweden Democrats,Sweden,1,0,1,0,0,0,1,0,1.0,1546.0,Right-wing,8.7,5.9,8.5,2.3
Left Party,Sweden,0,0,0,0,1,1,1,0,1.0,882.0,Communist/Socialist,1.5464,1.4121,2.4562,1.2042
